,Problem #,theta/pi,R(rho),R(rho u),R(rho v),R(rho e),,,,
,0,0.25,4.00E-09,8.00E-07,8.00E-07,1.00E-09,,,,
,1,0.25,4.00E-10,0,0,4.00E-09,,,,
,2,0.25,2.00E-09,3.00E-09,3.00E-09,6.00E-06,,,,
,3,0.25,3.00E-09,2.00E-09,2.00E-09,1.00E-05,,,,
,,,,,,,,,,
,0,0.05,5.00E-10,3.00E-10,3.00E-10,2.00E-09,,,,
,0,0.1,5.00E-05,2.00E-09,5.00E-10,2.00E-10,,,,
,1,0.05,5.00E-10,0,6.00E-18,4.00E-09,,,,
,0,0.15,1.00E-10,5.00E-09,1.00E-10,5.00E-10,,,,
,0,0.2,8.00E-10,1.00E-09,2.00E-08,6.00E-08,,,,
,1,0.1,9.00E-10,4.00E-17,1.00E-17,8.00E-11,,,,
,0,0.3,6.00E-10,2.00E-08,1.00E-09,1.00E-07,,,,
,1,0.15,4.00E-10,2.00E-17,1.00E-17,1.00E-09,,,,
,1,0.2,8.00E-11,3.00E-18,2.00E-17,6.00E-10,,,,
,0,0.4,1.00E-09,6.00E-10,3.00E-09,5.00E-09,,,,
,0,0.45,2.00E-09,3.00E-10,2.00E-10,2.00E-09,,,,
,0,0.55,2.00E-09,3.00E-10,2.00E-10,2.00E-09,,,,
,0,0.6,1.00E-09,6.00E-10,3.00E-09,5.00E-09,,,,
,0,0.65,3.00E-09,1.00E-09,5.00E-09,1.00E-09,,,,
,0,0.7,6.00E-10,2.00E-08,1.00E-09,1.00E-07,,,,
,0,0.75,4.00E-09,8.00E-07,8.00E-07,1.00E-09,,,,
,0,0.8,8.00E-10,1.00E-09,2.00E-08,6.00E-08,,,,
,0,0.85,1.00E-09,5.00E-09,1.00E-10,5.00E-10,,,,
,0,0.9,5.00E-05,2.00E-09,5.00E-10,2.00E-10,,,,
,0,0.95,5.00E-10,3.00E-10,3.00E-10,2.00E-09,,,,
,1,0.3,1.00E-09,2.00E-17,3.00E-17,1.00E-08,,,,
,1,0.35,3.00E-10,9.00E-18,0,6.00E-09,,,,
,1,0.4,3.00E-10,2.00E-18,4.00E-18,4.00E-09,,,,
,1,0.45,2.00E-09,0,0,1.00E-08,,,,
,1,0.55,2.00E-09,0,0,1.00E-08,,,,
,1,0.6,3.00E-10,2.00E-18,3.00E-17,4.00E-09,,,,
,1,0.65,3.00E-10,0,3.00E-17,6.00E-09,,,,
,1,0.7,1.00E-09,3.00E-18,4.00E-17,6.00E-09,,,,
,1,0.75,4.00E-10,3.00E-17,4.00E-18,5.00E-09,,,,
,1,0.8,8.00E-11,4.00E-17,2.00E-17,6.00E-10,,,,
,1,0.85,4.00E-10,3.00E-17,3.00E-17,1.00E-09,,,,
,1,0.9,9.00E-10,7.00E-18,7.00E-18,8.00E-11,,,,
,1,0.95,6.00E-10,3.00E-17,1.00E-17,4.00E-09,,,,
,2,0.05,0,0,0,0,,,,
,2,0.1,0,0,0,0,,,,
,2,0.15,0,0,0,0,,,,
,2,0.2,8.00E-10,4.00E-08,8.00E-08,2.00E-06,,,,
,2,0.25,2.00E-09,3.00E-09,3.00E-09,6.00E-06,,,,
,2,0.3,2.00E-09,6.00E-08,7.00E-08,4.00E-06,,,,
,2,0.35,0,0,0,0,,,,
,2,0.4,0,0,0,0,,,,
,2,0.45,0,0,0,0,,,,
,2,0.5,0,0,0,0,,,,
,3,0.05,6.00E-09,4.00E-08,2.00E-06,2.00E-07,,,,
,3,0.1,1.00E-09,1.00E-08,2.00E-08,4.00E-08,,,,
,3,0.15,7.00E-09,2.00E-08,7.00E-09,2.00E-07,,,,
,3,0.2,5.00E-10,3.00E-09,7.00E-08,9.00E-08,,,,
,3,0.25,3.00E-09,2.00E-09,2.00E-09,1.00E-05,,,,
,3,0.30,2.00E-10,7.00E-08,5.00E-09,5.00E-08,,,,
,3,0.35,6.00E-09,7.00E-09,2.00E-08,4.00E-07,,,,
,3,0.40,9.00E-10,2.00E-08,6.00E-09,3.00E-07,,,,
,3,0.45,6.00E-09,2.00E-06,4.00E-08,6.00E-07,,,,
,3,0.50,2.00E-14,0,1.00E-13,1.00E-12,,,,
