%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
4, 81.0, 45.0, 1.0, 0.1, 0.0, 0.5, 10.0, -1.06581410364e-14
1, 36.0, 63.0, 1.0, 10.0, 0.8, 0.5, 0.1, -7.49400541622e-16
6, 9.0, 45.0, 1000.0, 1.0, 0.2, 3.0, 0.01, -7.1054273576e-14
1, 27.0, 45.0, 1000.0, 0.1, 0.4, 0, 0.001, 0.0
5, 27.0, 36.0, 100.0, 0.1, 0.2, 0, 1.0, 0.0
6, 63.0, 63.0, 0.01, 10.0, 0.0, 1.5, 0.01, -2.0246391369e-15
2, 18.0, 63.0, 100.0, 1.0, 1.0, 0, 0.001, 1.11022302463e-16
3, 90.0, 72.0, 10.0, 0.001, 0.6, 2.0, 0.001, 1.73472347598e-17
7, 45.0, 63.0, 0.1, 0.01, 0.2, 0.5, 10.0, 1.66533453694e-16
1, 72.0, 27.0, 0.1, 1.0, 0.8, 2.0, 1.0, -7.49400541622e-16
0, 54.0, 36.0, 0.01, 1.0, 0.8, 1.0, 0.001, 0.0
4, 27.0, 0.0, 0.1, 0.1, 0.6, 2.0, 1.0, -2.6645352591e-15
1, 36.0, 72.0, 0.1, 0.01, 0.6, 0.5, 0.001, -1.21972744405e-18
1, 36.0, 0.0, 1.0, 0.01, 0.4, 1.0, 0.01, -4.51028103754e-17
0, 9.0, 54.0, 1.0, 100.0, 0.6, 1.0, 0.001, 0.0
5, 72.0, 9.0, 1.0, 100.0, 0.8, 1.5, 0.001, 1.90862950444e-14
5, 90.0, 81.0, 10.0, 0.001, 0.4, 1.0, 0.01, 1.75415237891e-14
2, 45.0, 45.0, 0.01, 1000.0, 1.0, 0, 0.1, 0.0
7, 36.0, 90.0, 1000.0, 1.0, 0.2, 2.5, 0.1, -1.13686837722e-13
1, 81.0, 90.0, 0.1, 0.1, 0.8, 2.5, 10.0, 0.0
7, 0.0, 54.0, 0.01, 1000.0, 0.8, 1.5, 1.0, 8.65141291939e-14
4, 81.0, 45.0, 0.1, 100.0, 0.6, 2.0, 10.0, -28.0
0, 45.0, 72.0, 100.0, 10.0, 0.8, 0.5, 0.01, 0.0
5, 90.0, 72.0, 1.0, 0.01, 1.0, 1.5, 0.001, 4.65339572431e-15
3, 36.0, 54.0, 1000.0, 1000.0, 0.8, 0, 0.01, 4.61852778244e-14
5, 9.0, 18.0, 100.0, 0.001, 0.6, 0, 0.1, 0.0
0, 90.0, 63.0, 0.1, 0.01, 0.0, 2.5, 0.1, 0.0
5, 54.0, 90.0, 1.0, 1000.0, 0.0, 0, 0.1, 0.0
2, 36.0, 72.0, 0.001, 10.0, 0.8, 1.0, 0.001, 0.0
6, 18.0, 54.0, 0.001, 0.1, 0.4, 1.5, 0.001, 2.9041795146e-17
4, 27.0, 9.0, 0.01, 10.0, 0.8, 3.0, 0.1, 1.04083408559e-15
4, 27.0, 0.0, 10.0, 0.01, 0.0, 1.5, 0.1, -4.92939022934e-14
2, 9.0, 9.0, 1.0, 0.01, 1.0, 0.5, 0.001, 0.0
7, 36.0, 81.0, 10.0, 0.1, 0.4, 0.5, 0.1, 2.44249065418e-15
2, 81.0, 72.0, 1000.0, 0.01, 0.2, 0, 0.1, -5.96224458693e-15
0, 54.0, 63.0, 0.1, 100.0, 0.0, 3.0, 0.1, 0.0
4, 72.0, 72.0, 1.0, 1.0, 0.0, 0, 0.001, 0.0
7, 45.0, 0.0, 100.0, 1000.0, 0.2, 2.0, 0.001, -9.13019659876e-14
2, 27.0, 54.0, 1000.0, 100.0, 0.4, 2.5, 1.0, 0.0
5, 9.0, 36.0, 1000.0, 0.001, 0.2, 1.5, 0.1, -4.54747350886e-12
2, 0.0, 27.0, 0.001, 0.001, 0.6, 1.5, 10.0, 2.16840434497e-19
1, 45.0, 72.0, 1000.0, 0.1, 0.8, 3.0, 0.001, 0.0
2, 0.0, 54.0, 1.0, 1.0, 0.0, 1.0, 0.1, 0.0
2, 27.0, 0.0, 0.1, 10.0, 0.0, 1.0, 0.1, 0.0
3, 63.0, 63.0, 0.001, 0.01, 0.2, 0, 0.01, -5.96311194867e-19
2, 81.0, 54.0, 0.01, 0.1, 0.8, 0.5, 0.001, 0.0
1, 90.0, 81.0, 0.1, 0.1, 0.8, 1.0, 0.1, -3.46944695195e-18
2, 9.0, 27.0, 100.0, 10.0, 0.6, 1.5, 0.01, 0.0
5, 81.0, 45.0, 0.1, 1.0, 0.4, 2.5, 1.0, 2.84217094304e-14
4, 27.0, 45.0, 100.0, 100.0, 0.6, 0.5, 1.0, -2.91322521662e-13
4, 0.0, 18.0, 10.0, 1000.0, 1.0, 0.5, 0.01, 3.54688500792e-13
1, 27.0, 45.0, 1000.0, 0.01, 0.4, 2.5, 0.1, 2.84217094304e-14
3, 9.0, 81.0, 100.0, 0.001, 0.4, 0, 0.001, -2.77555756156e-17
6, 81.0, 36.0, 0.001, 1000.0, 1.0, 1.0, 0.01, -1.34631673824e-13
5, 81.0, 18.0, 10.0, 0.1, 0.6, 0.5, 1.0, -2.13162820728e-14
1, 36.0, 45.0, 0.1, 0.001, 0.0, 3.0, 0.1, 1.04083408559e-17
1, 72.0, 72.0, 1.0, 0.01, 1.0, 0.5, 0.01, -4.51028103754e-17
7, 27.0, 81.0, 1.0, 0.01, 1.0, 1.0, 0.1, -2.77555756156e-16
3, 45.0, 63.0, 1.0, 1.0, 0.6, 2.5, 0.01, 3.20923843056e-16
3, 18.0, 9.0, 100.0, 0.1, 0.2, 3.0, 0.1, 0.0
2, 81.0, 0.0, 10.0, 10.0, 1.0, 2.0, 0.001, 0.0
4, 27.0, 54.0, 1.0, 1000.0, 1.0, 1.0, 0.01, 3.24166041232e-13
5, 45.0, 9.0, 0.01, 0.001, 0.8, 0, 0.01, 0.0
5, 90.0, 45.0, 1.0, 10.0, 0.2, 1.5, 0.01, 8.1670781249e-15
4, 18.0, 63.0, 0.1, 1.0, 0.2, 0, 1.0, 0.0
4, 63.0, 90.0, 10.0, 1000.0, 0.0, 0.5, 10.0, 3.69482222595e-13
1, 54.0, 45.0, 100.0, 0.001, 0.2, 1.5, 1.0, 0.0
2, 18.0, 45.0, 0.001, 1000.0, 0.2, 3.0, 0.001, 0.0
7, 36.0, 81.0, 0.01, 0.001, 0.6, 0.5, 1.0, -1.30104260698e-17
4, 54.0, 63.0, 0.001, 0.001, 0.0, 1.0, 0.01, 1.71100655345e-18
0, 36.0, 36.0, 1.0, 1.0, 0.2, 1.0, 0.1, 0.0
6, 9.0, 81.0, 1.0, 0.1, 1.0, 1.5, 0.01, -3.69496100383e-16
1, 63.0, 27.0, 10.0, 100.0, 0.0, 1.5, 10.0, -8.52651282912e-14
6, 90.0, 9.0, 0.1, 1.0, 0.2, 1.5, 1.0, -1.11022302463e-16
5, 63.0, 18.0, 1.0, 10.0, 0.2, 2.5, 1.0, 0.0
0, 54.0, 81.0, 1000.0, 10.0, 0.0, 1.0, 10.0, 0.0
3, 63.0, 0.0, 100.0, 0.01, 0.8, 1.0, 0.1, -3.5527136788e-15
5, 27.0, 54.0, 0.001, 0.01, 0.0, 3.0, 0.01, -1.19262238973e-18
1, 18.0, 54.0, 1.0, 0.01, 0.0, 0, 0.001, -1.21430643318e-17
0, 9.0, 18.0, 0.01, 1000.0, 0.8, 1.5, 0.1, 0.0
7, 90.0, 0.0, 10.0, 1.0, 1.0, 0, 0.1, 0.0
1, 45.0, 72.0, 0.1, 0.1, 0.8, 1.5, 0.001, -8.15862134795e-18
4, 72.0, 45.0, 100.0, 0.01, 0.6, 1.5, 10.0, 0.000244140625
5, 9.0, 0.0, 1.0, 0.1, 0.8, 2.5, 0.1, -3.10862446895e-15
2, 63.0, 72.0, 10.0, 0.01, 0.0, 1.0, 1.0, 6.85215773011e-16
0, 81.0, 0.0, 10.0, 1.0, 1.0, 2.0, 1.0, 0.0
4, 81.0, 54.0, 0.01, 1000.0, 1.0, 0, 0.001, 0.0
0, 9.0, 45.0, 100.0, 0.001, 0.6, 3.0, 0.1, 0.0
0, 27.0, 45.0, 0.01, 100.0, 0.2, 1.0, 0.1, 0.0
7, 36.0, 54.0, 0.001, 100.0, 0.6, 1.5, 0.1, -1.20892879041e-14
7, 90.0, 36.0, 0.001, 0.1, 0.4, 1.5, 0.01, 2.80825303333e-17
6, 90.0, 0.0, 100.0, 0.01, 0.2, 0.5, 0.1, 3.19744231092e-14
6, 18.0, 90.0, 10.0, 0.1, 0.8, 1.0, 10.0, -4.4408920985e-15
1, 9.0, 9.0, 1000.0, 10.0, 1.0, 2.5, 10.0, 3.63797880709e-12
