%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
2, 0.0, 0.0, 10.0, 1.0, 0.4, 10.0, 1000.0, 0.0
2, 9.0, 0.0, 10.0, 0.1, 0.2, 1.0, 10.0, 7.3552275381416621e-16
2, 9.0, 0.0, 0.1, 0.001, 0.4, 1.0, 0.1, 8.6736173798840355e-19
7, 9.0, 0.0, 1000.0, 0.1, 0.2, 1.0, 10.0, -1.3642420526593924e-12
0, 0.0, 0.0, 1000.0, 1.0, 0.2, 1.0, 100.0, 0.0
3, 9.0, 0.0, 10.0, 0.01, 0.4, 0.1, 100.0, 0.0
0, 0.0, 0.0, 0.1, 0.1, 0.6000000000000001, 10.0, 0.001, 0.0
0, 9.0, 0.0, 0.01, 0.1, 0.2, 10.0, 0.001, 0.0
1, 9.0, 0.0, 0.1, 0.001, 0.6000000000000001, 0.1, 10.0, -2.2204460492503131e-16
6, 0.0, 0.0, 0.1, 0.01, 0.0, 0.1, 100.0, -6.9388939039072284e-17
3, 9.0, 0.0, 0.1, 0.01, 0.2, 10.0, 10.0, -1.4210854715202004e-14
6, 0.0, 0.0, 0.1, 1000.0, 0.8, 1.0, 1.0, 1.7223028558888132e-13
2, 0.0, 0.0, 0.001, 0.001, 1.0, 0.1, 0.1, 0.0
4, 9.0, 0.0, 0.01, 1.0, 0.2, 1.0, 0.1, 4.8181944545255817e-16
2, 9.0, 0.0, 0.001, 1000.0, 0.6000000000000001, 1.0, 10.0, 0.0
3, 0.0, 0.0, 10.0, 1000.0, 0.8, 1.0, 10.0, -3.637978807091713e-12
3, 0.0, 0.0, 10.0, 0.1, 1.0, 0.1, 0.1, -4.4408920985006262e-16
3, 9.0, 0.0, 0.01, 0.01, 0.2, 1.0, 100.0, 2.2737367544323206e-13
2, 0.0, 0.0, 0.01, 0.001, 0.8, 10.0, 10.0, 8.6736173798840355e-19
7, 9.0, 0.0, 0.01, 0.1, 0.6000000000000001, 0.1, 0.01, -1.4970460309772504e-17
1, 9.0, 0.0, 0.1, 0.01, 0.6000000000000001, 1.0, 0.1, 0.0
2, 0.0, 0.0, 1000.0, 1.0, 0.2, 1.0, 10.0, 0.0
3, 9.0, 0.0, 1.0, 1.0, 0.2, 0.1, 0.1, -2.7755575615628914e-17
6, 0.0, 0.0, 0.001, 0.01, 0.6000000000000001, 0.1, 10.0, 6.5052130349130266e-19
4, 9.0, 0.0, 10.0, 0.01, 0.8, 10.0, 0.1, -1.2107193470001221e-08
3, 9.0, 0.0, 100.0, 10.0, 0.0, 10.0, 10.0, 2.9103830456733704e-11
5, 9.0, 0.0, 0.1, 1.0, 0.0, 1.0, 0.01, 3.5301622736128024e-16
3, 0.0, 0.0, 1000.0, 0.01, 0.6000000000000001, 0.1, 0.01, 5.3290705182007514e-15
0, 9.0, 0.0, 10.0, 10.0, 0.4, 0.1, 1000.0, 0.0
7, 9.0, 0.0, 0.001, 0.01, 0.8, 1.0, 0.1, 2.0464316005663896e-18
5, 9.0, 0.0, 1000.0, 100.0, 0.2, 1.0, 0.1, 2.1600499167107046e-12
4, 9.0, 0.0, 1000.0, 0.1, 0.0, 10.0, 0.001, 2.4556356947869062e-11
3, 0.0, 0.0, 1000.0, 10.0, 0.0, 0.1, 10.0, 0.0
2, 9.0, 0.0, 0.01, 10.0, 0.0, 1.0, 0.001, 0.0
5, 0.0, 0.0, 1.0, 0.001, 0.2, 0.1, 0.001, 3.3660411697528092e-16
6, 0.0, 0.0, 0.1, 10.0, 0.2, 1.0, 0.1, 1.7520707107365752e-16
3, 0.0, 0.0, 0.001, 1000.0, 0.6000000000000001, 1.0, 1.0, -8.0036671734617926e-14
2, 0.0, 0.0, 10.0, 0.01, 0.6000000000000001, 1.0, 0.01, 0.0
4, 9.0, 0.0, 1000.0, 10.0, 0.6000000000000001, 0.1, 0.1, 1.5063505998114124e-12
2, 0.0, 0.0, 0.001, 100.0, 0.0, 0.1, 0.001, 0.0
2, 9.0, 0.0, 0.01, 0.1, 0.6000000000000001, 1.0, 0.001, 0.0
3, 0.0, 0.0, 100.0, 1.0, 1.0, 10.0, 1000.0, 0.0
0, 0.0, 0.0, 0.001, 0.01, 0.6000000000000001, 0.1, 100.0, 0.0
