problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
4, 90.0, 0.0, 0.001, 1.0, 0.2, 0.1, 1000.0, 9.98312543743e-13
1, 18.0, 0.0, 1000.0, 0.1, 0.0, 0.1, 1.0, 2.27373675443e-13
6, 99.0, 0.0, 0.01, 0.001, 0.8, 0.1, 0.1, -7.31836466428e-19
6, 144.0, 0.0, 1000.0, 1000.0, 1.0, 1.0, 1.0, 5.68434188608e-14
2, 36.0, 0.0, 1000.0, 0.1, 0.8, 1.0, 0.01, -5.13478148889e-16
5, 153.0, 0.0, 10.0, 10.0, 0.0, 10.0, 0.001, 3.19744231092e-13
0, 0.0, 0.0, 1000.0, 100.0, 0.6, 0.1, 10.0, 0.0
3, 126.0, 0.0, 10.0, 0.01, 0.8, 1.0, 1000.0, -4.47034835815e-08
3, 144.0, 0.0, 0.001, 0.1, 0.2, 10.0, 1.0, 1.04083408559e-17
3, 72.0, 0.0, 0.001, 0.1, 0.6, 1.0, 100.0, 0.0
4, 153.0, 0.0, 1.0, 1000.0, 1.0, 0.1, 0.1, 7.08651887171e-14
2, 18.0, 0.0, 10.0, 1.0, 0.2, 1.0, 1000.0, 0.0
7, 162.0, 0.0, 10.0, 0.01, 0.0, 0.1, 1.0, 1.55431223448e-15
3, 117.0, 0.0, 0.01, 10.0, 1.0, 1.0, 0.001, 6.68481790105e-16
1, 81.0, 0.0, 1000.0, 0.1, 0.2, 1.0, 10.0, 0.0
5, 180.0, 0.0, 1000.0, 100.0, 0.8, 0.1, 100.0, 7.50333128963e-11
1, 162.0, 0.0, 0.1, 0.001, 0.2, 10.0, 0.01, 1.73472347598e-18
0, 54.0, 0.0, 0.01, 0.001, 0.4, 0.1, 100.0, 0.0
4, 180.0, 0.0, 1.0, 1.0, 0.0, 0.1, 100.0, 6.97220059465e-14
1, 90.0, 0.0, 0.01, 100.0, 1.0, 0.1, 10.0, -3.98292510084e-14
7, 117.0, 0.0, 1000.0, 0.01, 0.8, 1.0, 0.1, -1.27897692437e-13
6, 45.0, 0.0, 1.0, 10.0, 0.0, 1.0, 10.0, -1.55431223448e-15
7, 162.0, 0.0, 100.0, 0.1, 0.8, 1.0, 0.01, -1.82076576039e-14
4, 0.0, 0.0, 10.0, 10.0, 0.8, 1.0, 100.0, -6.33825300114e+29
6, 81.0, 0.0, 1.0, 1000.0, 1.0, 10.0, 0.001, 2.94297572423e-13
7, 180.0, 0.0, 10.0, 0.001, 0.8, 10.0, 1.0, -7.91899879005e-12
0, 144.0, 0.0, 10.0, 1000.0, 0.8, 1.0, 1000.0, 0.0
0, 126.0, 0.0, 1000.0, 1.0, 0.0, 1.0, 0.1, 0.0
6, 81.0, 0.0, 0.1, 0.01, 1.0, 0.1, 0.01, -5.59854896817e-17
7, 108.0, 0.0, 0.001, 1.0, 0.0, 10.0, 0.001, -2.79073639198e-16
1, 171.0, 0.0, 1000.0, 0.1, 1.0, 10.0, 100.0, 2.91038304567e-11
1, 54.0, 0.0, 0.01, 1.0, 0.2, 1.0, 100.0, 0.0
1, 135.0, 0.0, 10.0, 10.0, 0.2, 0.1, 0.01, -2.52575738102e-15
0, 135.0, 0.0, 100.0, 0.01, 0.8, 10.0, 0.001, 0.0
7, 126.0, 0.0, 0.001, 1000.0, 0.6, 1.0, 0.1, -8.70119406214e-14
1, 144.0, 0.0, 0.01, 100.0, 0.8, 10.0, 1000.0, -2.84217094304e-14
4, 72.0, 0.0, 0.01, 100.0, 0.8, 0.1, 100.0, -1.11022302463e-15
6, 45.0, 0.0, 1000.0, 1000.0, 0.6, 0.1, 0.01, -5.15698594938e-13
5, 36.0, 0.0, 100.0, 1000.0, 0.6, 10.0, 1.0, -9.63414456173e+31
3, 27.0, 0.0, 100.0, 100.0, 0.8, 0.1, 0.001, 3.41671135828e-14
5, 9.0, 0.0, 1000.0, 1.0, 0.4, 10.0, 0.01, -7.27595761418e-12
7, 54.0, 0.0, 100.0, 0.1, 0.4, 0.1, 100.0, 5.96855898038e-13
7, 45.0, 0.0, 1000.0, 1.0, 0.0, 0.1, 1.0, 3.2684965845e-13
0, 153.0, 0.0, 0.1, 10.0, 0.4, 1.0, 0.01, 0.0
4, 18.0, 0.0, 1.0, 0.01, 0.4, 1.0, 1.0, 1.55431223448e-15
2, 54.0, 0.0, 1.0, 10.0, 0.4, 1.0, 100.0, 0.0
4, 144.0, 0.0, 0.001, 1000.0, 0.2, 10.0, 0.1, -1.47792889038e-12
6, 36.0, 0.0, 100.0, 0.01, 0.4, 10.0, 100.0, 1.06581410364e-14
2, 9.0, 0.0, 0.01, 1000.0, 1.0, 10.0, 100.0, 0.0
1, 54.0, 0.0, 1000.0, 0.01, 0.0, 10.0, 100.0, 0.0
2, 27.0, 0.0, 0.1, 1.0, 0.6, 0.1, 1000.0, 0.0
0, 153.0, 0.0, 10.0, 100.0, 0.8, 1.0, 0.1, 0.0
3, 162.0, 0.0, 1.0, 0.1, 0.2, 10.0, 0.1, 2.77555756156e-17
2, 108.0, 0.0, 1.0, 0.1, 0.0, 10.0, 0.01, 0.0
1, 153.0, 0.0, 0.01, 0.01, 0.6, 0.1, 0.01, 3.98444298388e-18
3, 153.0, 0.0, 0.1, 100.0, 0.4, 10.0, 0.01, 4.28645834105e-14
7, 126.0, 0.0, 10.0, 0.001, 0.8, 10.0, 1.0, -7.91899879005e-12
0, 36.0, 0.0, 0.1, 1.0, 1.0, 0.1, 0.1, 0.0
3, 126.0, 0.0, 100.0, 1000.0, 1.0, 0.1, 0.001, -5.05845365595e-13
3, 9.0, 0.0, 1.0, 1000.0, 1.0, 1.0, 0.01, 3.07410347178e-14
4, 126.0, 0.0, 100.0, 10.0, 0.0, 1.0, 0.01, 2.42916797788e-13
2, 54.0, 0.0, 0.01, 0.001, 1.0, 1.0, 0.1, 0.0
1, 117.0, 0.0, 0.001, 1000.0, 0.6, 1.0, 0.001, -5.04951449374e-15
7, 63.0, 0.0, 1000.0, 1.0, 1.0, 10.0, 1000.0, 447866.507114
2, 0.0, 0.0, 100.0, 0.001, 0.4, 1.0, 1000.0, -4.7969234921e-12
3, 153.0, 0.0, 0.001, 0.001, 0.2, 10.0, 0.1, -2.98155597434e-19
1, 126.0, 0.0, 1.0, 0.01, 0.4, 1.0, 0.1, -5.55111512313e-17
7, 90.0, 0.0, 100.0, 0.1, 0.8, 10.0, 100.0, 15485.8145203
5, 0.0, 0.0, 0.001, 0.1, 0.8, 1.0, 0.01, 9.08358132636e-18
0, 144.0, 0.0, 10.0, 10.0, 0.4, 0.1, 0.001, 0.0
7, 117.0, 0.0, 1000.0, 0.01, 1.0, 10.0, 10.0, -195312.605798
3, 81.0, 0.0, 0.01, 0.01, 0.6, 0.1, 100.0, 2.27373675443e-13
7, 81.0, 0.0, 1000.0, 0.1, 0.2, 1.0, 0.001, -8.61533067109e-14
7, 144.0, 0.0, 10.0, 1000.0, 0.4, 0.1, 1.0, 1.22346577314e-13
3, 153.0, 0.0, 10.0, 10.0, 0.6, 10.0, 0.001, 2.34881558647e-15
2, 90.0, 0.0, 10.0, 1.0, 1.0, 0.1, 10.0, 0.0
7, 27.0, 0.0, 0.1, 1000.0, 0.4, 1.0, 0.01, -2.50292950428e-13
0, 117.0, 0.0, 0.01, 100.0, 0.4, 0.1, 10.0, 0.0
3, 45.0, 0.0, 1000.0, 10.0, 1.0, 1.0, 1000.0, 0.0
4, 180.0, 0.0, 1.0, 0.001, 0.0, 1.0, 10.0, -8.0035533756e-11
7, 180.0, 0.0, 100.0, 1000.0, 0.6, 0.1, 1.0, -3.05533376377e-13
5, 18.0, 0.0, 1000.0, 0.1, 0.4, 10.0, 1.0, -8.92426022561e+32
7, 153.0, 0.0, 1000.0, 100.0, 0.4, 1.0, 100.0, 1.46314960148e-10
1, 81.0, 0.0, 0.001, 1.0, 0.4, 1.0, 100.0, -3.05311331772e-16
0, 18.0, 0.0, 1000.0, 1000.0, 1.0, 1.0, 0.01, 0.0
5, 36.0, 0.0, 10.0, 10.0, 0.2, 0.1, 0.1, 2.29122276707e-14
6, 90.0, 0.0, 0.001, 0.001, 0.6, 10.0, 0.1, 5.42101086243e-20
0, 117.0, 0.0, 10.0, 0.001, 0.8, 0.1, 10.0, 0.0
2, 54.0, 0.0, 100.0, 0.001, 0.8, 0.1, 100.0, 1.88609327809e-13
3, 0.0, 0.0, 0.001, 0.01, 1.0, 0.1, 0.1, 1.43656787854e-18
6, 153.0, 0.0, 0.01, 1.0, 0.4, 0.1, 1.0, 1.10046520507e-16
0, 180.0, 0.0, 100.0, 10.0, 0.0, 0.1, 100.0, 0.0
1, 180.0, 0.0, 1000.0, 10.0, 0.0, 1.0, 0.01, -1.42108547152e-14
