%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
6, 0.0, 27.0, 0.1, 10.0, 0.4, 0.5, 1.0, 7.97972798949e-17
4, 90.0, 36.0, 10.0, 1000.0, 0.0, 3.0, 0.01, 1.4832579609e-13
7, 27.0, 45.0, 0.1, 100.0, 0.2, 2.5, 10.0, 4.29274671365e-14
2, 0.0, 36.0, 0.01, 0.1, 0.0, 0.5, 0.001, 0.0
0, 27.0, 54.0, 10.0, 0.01, 0.6, 0.5, 1.0, 0.0
1, 36.0, 72.0, 0.001, 0.001, 0.8, 2.5, 0.001, 2.65544828964e-19
6, 36.0, 0.0, 10.0, 0.1, 1.0, 2.5, 1.0, -3.5527136788e-15
3, 54.0, 27.0, 100.0, 0.001, 0.2, 0.5, 0.01, 2.22044604925e-16
2, 54.0, 18.0, 0.001, 0.01, 0.8, 3.0, 1.0, 0.0
3, 18.0, 18.0, 100.0, 1.0, 0.0, 1.5, 10.0, 1.45519152284e-11
2, 36.0, 81.0, 0.1, 1000.0, 0.0, 0, 10.0, 0.0
7, 81.0, 36.0, 1000.0, 0.1, 0.4, 3.0, 0.1, 9.09494701773e-13
6, 9.0, 72.0, 0.01, 1000.0, 1.0, 1.0, 0.1, 3.18295520149e-13
4, 27.0, 54.0, 0.01, 1000.0, 0.6, 0.5, 0.1, -5.99148009851e-14
7, 9.0, 72.0, 0.1, 100.0, 0.8, 3.0, 0.001, -3.18899366549e-14
5, 36.0, 18.0, 0.001, 0.001, 0.6, 0, 10.0, 0.0
7, 9.0, 18.0, 100.0, 10.0, 0.2, 1.0, 0.1, -1.7763568394e-14
6, 63.0, 72.0, 1000.0, 0.01, 0.8, 2.5, 0.1, 3.12638803734e-13
2, 36.0, 54.0, 100.0, 0.01, 0.0, 0.5, 10.0, 5.24372212318e-14
3, 54.0, 81.0, 0.1, 100.0, 0.6, 0.5, 0.1, 4.82010265035e-14
7, 9.0, 0.0, 0.001, 0.001, 1.0, 3.0, 0.001, -2.16840434497e-19
5, 54.0, 18.0, 10.0, 1.0, 0.8, 0, 10.0, 0.0
2, 18.0, 0.0, 1000.0, 1.0, 0.4, 2.5, 0.01, 0.0
7, 63.0, 0.0, 1.0, 0.001, 0.8, 1.5, 0.01, -1.90819582357e-16
0, 9.0, 0.0, 0.01, 100.0, 0.8, 0, 0.001, 0.0
1, 36.0, 9.0, 10.0, 0.1, 0.8, 2.5, 1.0, 3.5527136788e-15
5, 81.0, 36.0, 0.1, 0.1, 1.0, 1.5, 0.1, -4.09394740331e-16
4, 72.0, 27.0, 1000.0, 1.0, 0.2, 1.5, 1.0, 1.09139364213e-11
2, 90.0, 45.0, 1000.0, 0.1, 1.0, 2.0, 0.001, -1.38777878078e-17
6, 36.0, 54.0, 0.001, 0.01, 0.2, 3.0, 10.0, -4.22838847269e-18
6, 9.0, 72.0, 10.0, 0.001, 0.4, 0, 0.01, 0.0
0, 63.0, 18.0, 0.1, 0.01, 0.2, 3.0, 0.01, 0.0
2, 54.0, 72.0, 0.01, 0.001, 0.6, 1.0, 0.01, 0.0
2, 90.0, 9.0, 1.0, 100.0, 1.0, 0.5, 10.0, 0.0
2, 27.0, 90.0, 1000.0, 0.01, 0.2, 0.5, 1.0, 7.65828372939e-14
0, 63.0, 18.0, 100.0, 0.001, 0.8, 1.5, 0.001, 0.0
7, 36.0, 63.0, 1000.0, 1000.0, 0.2, 2.0, 0.1, -2.84217094304e-13
3, 90.0, 36.0, 0.001, 0.001, 0.2, 3.0, 0.001, 3.22084278193e-19
6, 54.0, 0.0, 0.01, 100.0, 0.2, 0.5, 0.001, 7.76758943489e-15
7, 54.0, 63.0, 0.1, 10.0, 0.6, 1.0, 10.0, -1.87350135405e-15
6, 27.0, 90.0, 1000.0, 0.1, 1.0, 3.0, 0.001, 7.94919685632e-14
4, 18.0, 63.0, 1000.0, 100.0, 0.6, 3.0, 0.1, 0.0
0, 9.0, 27.0, 0.1, 0.01, 0.2, 1.0, 10.0, 0.0
7, 72.0, 9.0, 1000.0, 1.0, 0.6, 2.0, 10.0, -5.68434188608e-12
2, 63.0, 90.0, 10.0, 10.0, 0.0, 0, 0.001, 0.0
1, 27.0, 9.0, 100.0, 0.1, 0.0, 0, 10.0, 4.54747350886e-13
4, 0.0, 9.0, 10.0, 1.0, 0.6, 2.0, 0.001, -2.15522044655e-14
0, 63.0, 81.0, 0.1, 0.1, 1.0, 0.5, 0.1, 0.0
2, 90.0, 45.0, 0.01, 0.1, 0.8, 1.0, 10.0, -2.77555756156e-17
2, 18.0, 18.0, 1.0, 100.0, 0.8, 2.0, 0.001, 0.0
5, 72.0, 54.0, 1000.0, 1000.0, 0.4, 1.5, 0.001, 4.30588897871e-12
5, 36.0, 90.0, 100.0, 100.0, 0.4, 1.0, 1.0, 1.13686837722e-13
7, 90.0, 81.0, 0.001, 0.1, 0.8, 1.0, 0.001, -1.64608147805e-17
6, 36.0, 27.0, 0.1, 100.0, 0.6, 2.5, 10.0, -5.49560397189e-15
3, 54.0, 90.0, 1.0, 0.1, 0.4, 1.5, 10.0, 4.54747350886e-13
1, 27.0, 36.0, 0.01, 0.001, 0.8, 0, 0.01, -3.52365706058e-19
1, 72.0, 9.0, 0.1, 1000.0, 0.0, 0.5, 1.0, -6.82509604388e-14
3, 27.0, 54.0, 10.0, 100.0, 0.2, 0, 0.01, -1.94566585066e-14
5, 63.0, 27.0, 10.0, 0.001, 0.8, 3.0, 0.001, 2.97817326356e-14
4, 9.0, 63.0, 1000.0, 0.01, 0.6, 3.0, 0.01, -1.05160324892e-12
4, 72.0, 36.0, 1000.0, 1000.0, 0.8, 0.5, 10.0, -3.63797880709e-12
7, 90.0, 0.0, 0.01, 0.01, 0.2, 1.0, 0.01, -2.04643160057e-18
3, 90.0, 0.0, 100.0, 0.01, 0.8, 0, 10.0, 0.0
1, 63.0, 36.0, 1000.0, 1000.0, 0.4, 2.0, 0.001, 0.0
1, 0.0, 9.0, 0.1, 1000.0, 0.6, 2.5, 0.1, -2.45557046918e-13
2, 18.0, 54.0, 0.01, 1000.0, 0.2, 1.0, 0.001, 0.0
5, 45.0, 0.0, 1000.0, 100.0, 0.6, 2.5, 0.1, -2.95585778076e-12
4, 54.0, 27.0, 0.001, 0.01, 0.4, 2.0, 0.001, -2.76895070457e-18
5, 90.0, 0.0, 10.0, 10.0, 0.2, 1.5, 0.1, -4.57411886146e-14
6, 63.0, 81.0, 0.001, 0.01, 0.0, 3.0, 0.01, -2.33103467084e-18
2, 54.0, 81.0, 1.0, 1.0, 1.0, 0, 0.01, 0.0
5, 45.0, 45.0, 10.0, 100.0, 0.8, 1.0, 1.0, -7.1054273576e-15
3, 0.0, 27.0, 0.01, 0.1, 0.0, 1.0, 0.001, 7.17369143689e-17
2, 0.0, 36.0, 10.0, 0.1, 0.0, 2.5, 1.0, 5.55111512313e-16
2, 63.0, 27.0, 100.0, 0.01, 0.4, 2.0, 0.01, -2.77555756156e-17
0, 72.0, 81.0, 1.0, 100.0, 0.2, 0, 1.0, 0.0
4, 54.0, 90.0, 10.0, 100.0, 0.0, 0.5, 10.0, -1.13686837722e-13
0, 36.0, 90.0, 0.001, 1000.0, 0.6, 3.0, 0.01, 0.0
5, 90.0, 27.0, 0.01, 10.0, 0.0, 2.0, 0.01, -4.99166680212e-16
4, 36.0, 90.0, 1000.0, 10.0, 0.4, 0.5, 0.1, 1.17950094136e-12
6, 72.0, 36.0, 0.01, 0.01, 0.4, 3.0, 0.001, 3.86247023948e-19
