%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
1, 72.0, 36.0, 1000.0, 0.1, 0.6, 1.5, 1.0, 2.27373675443e-13
7, 63.0, 0.0, 0.1, 0.01, 0.0, 0, 0.01, 0.0
2, 90.0, 81.0, 0.01, 0.01, 0.4, 0, 10.0, 6.93889390391e-18
2, 27.0, 9.0, 0.001, 0.01, 0.2, 1.5, 10.0, 0.0
6, 18.0, 27.0, 100.0, 0.001, 0.0, 2.5, 10.0, 1.70530256582e-13
6, 9.0, 63.0, 0.01, 0.001, 1.0, 3.0, 10.0, 4.77048955894e-18
0, 27.0, 72.0, 0.001, 0.01, 0.2, 1.0, 10.0, 0.0
0, 36.0, 36.0, 0.1, 1000.0, 0.8, 0, 0.1, 0.0
7, 54.0, 36.0, 1.0, 0.01, 0.0, 1.5, 1.0, -1.33226762955e-15
0, 27.0, 72.0, 0.1, 10.0, 0.6, 2.0, 0.001, 0.0
7, 90.0, 54.0, 0.01, 1.0, 0.8, 2.5, 10.0, -1.53523027624e-16
6, 18.0, 45.0, 1000.0, 0.1, 1.0, 2.5, 0.001, 1.87849735767e-13
1, 9.0, 90.0, 0.001, 100.0, 1.0, 0, 10.0, -3.23942261904e-14
7, 27.0, 63.0, 10.0, 1.0, 0.2, 1.0, 0.01, -1.34614541736e-15
1, 9.0, 9.0, 0.01, 0.001, 0.8, 2.5, 0.001, -3.82858892159e-19
1, 63.0, 72.0, 100.0, 0.001, 0.2, 2.5, 1.0, 0.0
2, 81.0, 9.0, 0.1, 0.001, 0.2, 0, 0.01, 0.0
1, 36.0, 81.0, 0.01, 0.1, 0.0, 2.0, 0.1, 1.73472347598e-18
1, 36.0, 81.0, 0.001, 100.0, 0.8, 2.0, 10.0, -3.23942261904e-14
2, 90.0, 45.0, 0.1, 1000.0, 0.8, 1.5, 0.1, 0.0
6, 36.0, 90.0, 1.0, 100.0, 1.0, 2.5, 0.001, 1.87753458614e-14
7, 81.0, 45.0, 0.1, 0.001, 1.0, 2.0, 10.0, -2.77555756156e-16
7, 18.0, 72.0, 10.0, 0.01, 0.4, 2.5, 10.0, 5.59552404411e-14
7, 9.0, 63.0, 10.0, 100.0, 0.6, 3.0, 1.0, 4.39648317752e-14
7, 9.0, 54.0, 0.01, 10.0, 0.8, 2.5, 10.0, -5.97612237474e-16
2, 9.0, 18.0, 1000.0, 0.001, 0.2, 0.5, 0.001, 6.33174068732e-17
0, 36.0, 81.0, 0.001, 1000.0, 0.6, 1.5, 10.0, 0.0
1, 18.0, 90.0, 100.0, 100.0, 0.2, 0, 0.001, 2.80331313718e-15
6, 18.0, 0.0, 1000.0, 100.0, 0.8, 0.5, 1.0, -6.25277607469e-13
3, 0.0, 63.0, 10.0, 100.0, 0.2, 1.5, 10.0, -1.81898940355e-12
0, 90.0, 45.0, 10.0, 1.0, 0.4, 1.5, 10.0, 0.0
2, 36.0, 81.0, 0.001, 10.0, 0.6, 2.0, 0.1, 0.0
2, 81.0, 36.0, 1000.0, 1000.0, 0.8, 3.0, 0.01, 0.0
1, 45.0, 63.0, 0.001, 0.001, 0.0, 0.5, 1.0, 4.33680868994e-19
7, 90.0, 90.0, 1000.0, 1.0, 0.6, 1.5, 10.0, 5.07327513333e-12
3, 0.0, 90.0, 0.01, 10.0, 0.6, 1.5, 1.0, 7.77156117238e-16
3, 27.0, 9.0, 0.001, 10.0, 0.0, 2.5, 0.01, 1.21024067504e-15
1, 54.0, 90.0, 1.0, 0.01, 0.2, 3.0, 10.0, 0.0
3, 81.0, 54.0, 10.0, 1000.0, 0.4, 3.0, 0.1, 3.8635761257e-13
2, 36.0, 36.0, 100.0, 0.1, 0.8, 0.5, 10.0, -5.10702591328e-14
7, 0.0, 72.0, 0.001, 0.001, 0.4, 2.5, 10.0, 1.14383329197e-17
7, 72.0, 36.0, 1.0, 10.0, 0.6, 2.0, 1.0, 4.21884749358e-15
3, 36.0, 45.0, 0.01, 0.1, 0.4, 3.0, 10.0, -5.3290705182e-15
7, 72.0, 72.0, 1000.0, 0.01, 0.4, 0.5, 0.001, -1.31672450721e-13
2, 0.0, 72.0, 1.0, 0.01, 1.0, 1.0, 0.1, 8.67361737988e-18
0, 45.0, 63.0, 10.0, 1.0, 1.0, 2.0, 1.0, 0.0
7, 0.0, 0.0, 0.001, 100.0, 1.0, 2.0, 10.0, 2.46243997415e-15
