%problem #, theta(deg), phi(deg), A, B, C, mu, a, residual
1, 81.0, 0.0, 0.1, 0.001, 0.2, 1.5, 0.001, 2.24971950791e-18
6, 63.0, 0.0, 0.01, 0.01, 1.0, 0.5, 0.001, 1.15874107184e-18
0, 153.0, 0.0, 0.001, 0.01, 0.6, 0.5, 0.1, 0.0
2, 99.0, 0.0, 100.0, 100.0, 0.4, 2.0, 0.01, 0.0
2, 0.0, 0.0, 0.001, 0.001, 0.2, 1.5, 1.0, 0.0
7, 81.0, 0.0, 0.001, 1000.0, 0.8, 0.5, 0.1, 2.00024438473e-13
7, 81.0, 0.0, 1000.0, 0.001, 0.4, 2.0, 0.01, 4.08562073062e-13
2, 126.0, 0.0, 1000.0, 0.01, 0.2, 2.0, 0.01, -9.76649316975e-16
3, 27.0, 0.0, 100.0, 0.001, 0.6, 2.0, 0.01, 2.22044604925e-16
6, 54.0, 0.0, 0.01, 0.01, 0.2, 3.0, 0.01, -1.95156391047e-18
6, 126.0, 0.0, 1000.0, 0.1, 0.2, 3.0, 0.001, 3.73034936274e-14
7, 180.0, 0.0, 0.01, 1.0, 0.0, 1.5, 10.0, 1.21430643318e-16
1, 171.0, 0.0, 100.0, 0.1, 0.4, 0.5, 10.0, 4.54747350886e-13
0, 63.0, 0.0, 0.001, 0.01, 1.0, 3.0, 0.1, 0.0
0, 63.0, 0.0, 0.01, 0.001, 0.6, 1.0, 1.0, 0.0
2, 63.0, 0.0, 1.0, 0.1, 0.4, 3.0, 0.001, 0.0
6, 18.0, 0.0, 0.1, 0.1, 1.0, 1.0, 0.001, -3.5859986855e-17
3, 90.0, 0.0, 0.001, 0.001, 0.6, 0, 1.0, -3.46944695195e-18
2, 126.0, 0.0, 0.1, 100.0, 0.8, 1.0, 1.0, 0.0
2, 126.0, 0.0, 0.001, 0.001, 0.8, 2.0, 0.1, 0.0
2, 126.0, 0.0, 1.0, 0.1, 1.0, 0, 0.1, -2.77555756156e-17
0, 135.0, 0.0, 10.0, 1.0, 0.6, 2.5, 0.1, 0.0
1, 54.0, 0.0, 0.01, 0.1, 0.4, 2.0, 10.0, -8.32667268469e-17
7, 135.0, 0.0, 0.01, 100.0, 0.4, 1.5, 0.1, 3.2099106359e-14
